,question_id,poll_id,state,pollster_id,pollster,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,internal,url,race_id,answer,candidate_id,candidate_name,candidate_party,pct,start_date,end_date,created_at,Poll_Time,end_date_month,end_date_year
0,136283,72621,Iowa,383,Public Policy Polling,Public Policy Polling,263.0,Public Policy Polling,B,871.0,v,v,IVR/Text,False,https://www.publicpolicypolling.com/wp-content/uploads/2020/11/IowaResultsNovember2020.pdf,6223,Biden,13256,Joseph R. Biden Jr.,DEM,49.0,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 09:02:00,1 days,11,2020
1,136283,72621,Iowa,383,Public Policy Polling,Public Policy Polling,263.0,Public Policy Polling,B,871.0,v,v,IVR/Text,False,https://www.publicpolicypolling.com/wp-content/uploads/2020/11/IowaResultsNovember2020.pdf,6223,Trump,13254,Donald Trump,REP,48.0,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 09:02:00,1 days,11,2020
2,136322,72647,Pennsylvania,461,Susquehanna Polling & Research Inc.,Susquehanna Polling & Research Inc.,326.0,Susquehanna Polling & Research Inc.,C,499.0,lv,lv,Live Phone,False,https://www.realclearpolitics.com/docs/2020/SusquehannaPolling-PAStatewidePoll-Oct2020.pdf,6249,Biden,13256,Joseph R. Biden Jr.,DEM,48.4,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 12:49:00,1 days,11,2020
3,136322,72647,Pennsylvania,461,Susquehanna Polling & Research Inc.,Susquehanna Polling & Research Inc.,326.0,Susquehanna Polling & Research Inc.,C,499.0,lv,lv,Live Phone,False,https://www.realclearpolitics.com/docs/2020/SusquehannaPolling-PAStatewidePoll-Oct2020.pdf,6249,Trump,13254,Donald Trump,REP,49.2,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 12:49:00,1 days,11,2020
4,136322,72647,Pennsylvania,461,Susquehanna Polling & Research Inc.,Susquehanna Polling & Research Inc.,326.0,Susquehanna Polling & Research Inc.,C,499.0,lv,lv,Live Phone,False,https://www.realclearpolitics.com/docs/2020/SusquehannaPolling-PAStatewidePoll-Oct2020.pdf,6249,Jorgensen,14611,Jo Jorgensen,LIB,1.4,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 12:49:00,1 days,11,2020
5,136491,72722,Florida,235,Opinion Savvy/InsiderAdvantage,InsiderAdvantage,243.0,Opinion Savvy/InsiderAdvantage,B-,400.0,lv,lv,IVR/Live Phone,False,https://www.realclearpolitics.com/docs/2020/Fox_35_Insider_Advantage.pdf,6220,Biden,13256,Joseph R. Biden Jr.,DEM,47.0,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 19:02:00,1 days,11,2020
6,136491,72722,Florida,235,Opinion Savvy/InsiderAdvantage,InsiderAdvantage,243.0,Opinion Savvy/InsiderAdvantage,B-,400.0,lv,lv,IVR/Live Phone,False,https://www.realclearpolitics.com/docs/2020/Fox_35_Insider_Advantage.pdf,6220,Trump,13254,Donald Trump,REP,48.2,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 19:02:00,1 days,11,2020
7,136491,72722,Florida,235,Opinion Savvy/InsiderAdvantage,InsiderAdvantage,243.0,Opinion Savvy/InsiderAdvantage,B-,400.0,lv,lv,IVR/Live Phone,False,https://www.realclearpolitics.com/docs/2020/Fox_35_Insider_Advantage.pdf,6220,Jorgensen,14611,Jo Jorgensen,LIB,1.6,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-02 19:02:00,1 days,11,2020
25,136537,72757,Nebraska CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,547.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1RQaEpV6kT3qV2b5P2B_AQgnS2CAJdgJaioH_10hO4qU/edit#gid=1652054673,8718,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 21:32:00,4 days,11,2020
26,136537,72757,Nebraska CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,547.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1RQaEpV6kT3qV2b5P2B_AQgnS2CAJdgJaioH_10hO4qU/edit#gid=1652054673,8718,Trump,13254,Donald Trump,REP,47.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 21:32:00,4 days,11,2020
