,Unnamed: 0,start_date,end_date,state,pollster,sample_size,population,Clinton,Trump,dem_lead
0,3077,2015-11-07,2015-11-08,South Carolina,Public Policy Polling,1290.0,v,40.63694,45.19826,-4.561319999999995
1,6520,2015-11-07,2015-11-08,South Carolina,Public Policy Polling,1290.0,v,40.4882,45.19637,-4.708170000000003
2,9901,2015-11-07,2015-11-08,South Carolina,Public Policy Polling,1290.0,v,40.69941,45.18212,-4.482709999999997
3,3206,2015-11-09,2015-11-13,Virginia,Roanoke College,555.0,rv,49.81532,36.2105,13.604819999999997
4,6638,2015-11-09,2015-11-13,Virginia,Roanoke College,555.0,rv,49.00173,37.02524,11.976489999999998
5,10030,2015-11-09,2015-11-13,Virginia,Roanoke College,555.0,rv,49.3535,36.90794,12.445559999999992
6,3388,2015-11-11,2015-11-15,Colorado,Quinnipiac University,1262.0,rv,36.06331,45.78302,-9.719710000000006
7,6710,2015-11-11,2015-11-15,Colorado,Quinnipiac University,1262.0,rv,35.86518,45.76778,-9.9026
8,10151,2015-11-11,2015-11-15,Colorado,Quinnipiac University,1262.0,rv,36.04188,45.63905,-9.597169999999998
9,3355,2015-11-12,2015-11-15,Wisconsin,Marquette University,803.0,rv,47.42836,37.97394,9.45442
10,6748,2015-11-12,2015-11-15,Wisconsin,Marquette University,803.0,rv,47.27073,38.05898,9.211750000000002
11,10220,2015-11-12,2015-11-15,Wisconsin,Marquette University,803.0,rv,47.57453,37.87221,9.70232
12,3071,2015-11-06,2015-11-16,New Hampshire,Morning Consult,530.0,rv,45.40125,38.46687,6.934379999999997
13,6517,2015-11-06,2015-11-16,New Hampshire,Morning Consult,530.0,rv,45.209790000000005,38.59373,6.6160600000000045
14,9895,2015-11-06,2015-11-16,New Hampshire,Morning Consult,530.0,rv,45.39273,38.40193,6.9908
15,3060,2015-11-10,2015-11-16,Iowa,Morning Consult,641.0,rv,41.85953,41.09665,0.7628800000000027
16,3062,2015-11-10,2015-11-16,South Carolina,Morning Consult,627.0,rv,42.21781,45.55769,-3.339880000000001
17,3092,2015-11-10,2015-11-16,Nevada,Morning Consult,628.0,rv,41.54632,44.81812,-3.271799999999999
18,6509,2015-11-10,2015-11-16,Iowa,Morning Consult,641.0,rv,41.69384,41.21837,0.4754700000000014
19,6511,2015-11-10,2015-11-16,South Carolina,Morning Consult,627.0,rv,42.05678,45.62137,-3.5645900000000026
20,6542,2015-11-10,2015-11-16,Nevada,Morning Consult,628.0,rv,41.3633,44.90135,-3.5380499999999984
21,9884,2015-11-10,2015-11-16,Iowa,Morning Consult,641.0,rv,41.85759,41.031220000000005,0.8263699999999972
22,9886,2015-11-10,2015-11-16,South Carolina,Morning Consult,627.0,rv,42.24942,45.51283,-3.2634100000000004
23,9916,2015-11-10,2015-11-16,Nevada,Morning Consult,628.0,rv,41.54443,44.74835,-3.203920000000004
24,3291,2015-11-13,2015-11-16,U.S.,Morning Consult,2001.0,rv,44.9939,44.36318,0.6307199999999966
25,6703,2015-11-13,2015-11-16,U.S.,Morning Consult,2001.0,rv,44.85706,44.51641,0.3406499999999965
26,10115,2015-11-13,2015-11-16,U.S.,Morning Consult,2001.0,rv,45.014140000000005,44.31849,0.6956500000000005
27,3170,2015-11-15,2015-11-16,Florida,Florida Atlantic University,829.0,rv,41.90924,48.72924,-6.82
28,6610,2015-11-15,2015-11-16,Florida,Florida Atlantic University,829.0,rv,42.062740000000005,48.79643,-6.733689999999996
29,9994,2015-11-15,2015-11-16,Florida,Florida Atlantic University,829.0,rv,41.86858,48.68129,-6.812710000000003
30,3008,2015-11-15,2015-11-17,New Hampshire,Fox News/Anderson Robbins Research/Shaw & Company Research,804.0,rv,46.98879,39.23964,7.74915
31,6484,2015-11-15,2015-11-17,New Hampshire,Fox News/Anderson Robbins Research/Shaw & Company Research,804.0,rv,46.81858,39.30677,7.511809999999997
32,9832,2015-11-15,2015-11-17,New Hampshire,Fox News/Anderson Robbins Research/Shaw & Company Research,804.0,rv,47.02269,39.0808,7.941890000000001
33,3181,2015-11-16,2015-11-17,U.S.,Public Policy Polling,1360.0,v,43.36824,42.24252,1.1257200000000012
34,6615,2015-11-16,2015-11-17,U.S.,Public Policy Polling,1360.0,v,43.23576,42.37711,0.8586500000000044
35,10005,2015-11-16,2015-11-17,U.S.,Public Policy Polling,1360.0,v,43.41459,42.23025,1.184340000000006
36,3178,2015-11-16,2015-11-19,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,1016.0,rv,41.60438,46.0232,-4.418820000000004
37,6614,2015-11-16,2015-11-19,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,1016.0,rv,41.49609,46.08751,-4.591419999999992
38,10002,2015-11-16,2015-11-19,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,1016.0,rv,41.66925,45.8827,-4.213450000000002
39,3086,2015-11-16,2015-11-23,Montana,Montana State University Billings,435.0,a,29.066090000000003,49.7611,-20.69501
40,6525,2015-11-16,2015-11-23,Montana,Montana State University Billings,435.0,a,28.76681,49.04129,-20.274480000000008
41,9910,2015-11-16,2015-11-23,Montana,Montana State University Billings,435.0,a,28.95405,49.0112,-20.057150000000004
42,3155,2015-11-23,2015-11-30,U.S.,Quinnipiac University,1473.0,rv,47.03617,40.30246,6.733710000000002
43,6596,2015-11-23,2015-11-30,U.S.,Quinnipiac University,1473.0,rv,46.87833,40.36045,6.517879999999998
44,9979,2015-11-23,2015-11-30,U.S.,Quinnipiac University,1473.0,rv,47.0407,40.19308,6.847619999999999
45,3154,2015-11-27,2015-12-01,U.S.,CNN/Opinion Research Corp.,930.0,rv,47.75193,43.95466,3.7972700000000046
46,6594,2015-11-27,2015-12-01,U.S.,CNN/Opinion Research Corp.,930.0,rv,47.48304,44.08582,3.3972200000000043
47,9978,2015-11-27,2015-12-01,U.S.,CNN/Opinion Research Corp.,930.0,rv,47.772290000000005,43.83161,3.940680000000008
48,3040,2015-11-15,2015-12-02,U.S.,Marist College,2360.0,rv,50.03764,41.48533,8.552310000000006
49,6510,2015-11-15,2015-12-02,U.S.,Marist College,2360.0,rv,49.873470000000005,41.59429,8.279180000000004
50,9864,2015-11-15,2015-12-02,U.S.,Marist College,2360.0,rv,50.00593,41.46918,8.536749999999998
51,3302,2015-11-30,2015-12-02,New Hampshire,Public Policy Polling,990.0,v,44.67209,39.00136,5.670730000000006
52,6793,2015-11-30,2015-12-02,New Hampshire,Public Policy Polling,990.0,v,44.49586,39.17873,5.317129999999999
53,10139,2015-11-30,2015-12-02,New Hampshire,Public Policy Polling,990.0,v,44.6786,38.97565,5.702950000000001
54,3166,2015-11-29,2015-12-03,U.S.,Saint Leo University,746.0,lv,47.75153,37.82746,9.92407
55,3189,2015-11-29,2015-12-03,Florida,Saint Leo University,404.0,lv,46.41326,42.488890000000005,3.924369999999996
56,6604,2015-11-29,2015-12-03,U.S.,Saint Leo University,746.0,lv,47.71266,38.23227,9.48039
57,6622,2015-11-29,2015-12-03,Florida,Saint Leo University,404.0,lv,46.38995,42.90545,3.484499999999997
58,9990,2015-11-29,2015-12-03,U.S.,Saint Leo University,746.0,lv,48.02565,37.87049,10.155159999999997
59,10013,2015-11-29,2015-12-03,Florida,Saint Leo University,404.0,lv,46.68507,42.52878,4.156290000000006
60,3131,2015-12-02,2015-12-06,U.S.,Suffolk University,1000.0,lv,45.6643,42.47778,3.1865200000000016
61,6569,2015-12-02,2015-12-06,U.S.,Suffolk University,1000.0,lv,45.63632,42.75108,2.885239999999996
62,9955,2015-12-02,2015-12-06,U.S.,Suffolk University,1000.0,lv,45.77198,42.65867,3.1133099999999985
63,3288,2015-12-03,2015-12-07,U.S.,Morning Consult,2047.0,rv,40.90628,46.93643,-6.030150000000006
